0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
27.6,d_20010201,0,0,0,0,0,0,72.4,39.9,9.3,0.9,0.1
69.3,d_20010301,18,1,0,0,0,0,12.7,5.1,0.7,0.2,0
57.6,d_20010401,5.5,0.1,0,0,0,0,36.8,28.3,10.7,3.6,0
45.6,d_20010501,0.2,0,0,0,0,0,54.3,37.1,19.9,11.8,1.7
29.3,d_20010601,5,0.5,0,0,0,0,65.7,45.7,25.6,19.6,12
33.7,d_20010701,0.4,0,0,0,0,0,65.9,47.9,27.8,20.9,9.3
23.2,d_20010801,0.9,0.1,0,0,0,0,75.9,55.5,18.6,4.5,0.1
30.1,d_20010901,0.4,0,0,0,0,0,69.4,48,11.5,2.1,0
35.7,d_20011001,0.7,0,0,0,0,0,63.6,43.5,8.6,1.8,0
34.5,d_20011101,0.7,0,0,0,0,0,64.7,39.2,3.7,0.2,0
20.1,d_20011201,0,0,0,0,0,0,79.9,53.9,9.8,0.9,0
56.8,d_20020101,6.1,2.5,0.3,0,0,0,37,17.9,2.1,0.2,0
61.3,d_20020201,8.5,2.3,0.3,0,0,0,30.4,11.4,1.1,0,0
68.5,d_20020301,6,2.3,0,0,0,0,25.4,5.7,0.1,0,0
21.2,d_20020401,0.1,0,0,0,0,0,78.8,58.9,15.5,2.8,0
44.9,d_20020501,0.5,0.1,0,0,0,0,54.7,30.8,8,2.3,0
30.5,d_20020601,0.1,0,0,0,0,0,69.4,52.4,35.5,15.4,2.4
28.5,d_20020701,6.1,2.1,0,0,0,0,65.3,53.7,35.3,19.5,3.4
29.2,d_20020801,1.5,0.1,0,0,0,0,69.3,54.8,36.3,19.2,3.6
30.5,d_20020901,1.9,0.3,0,0,0,0,67.7,58.4,41.7,30,9.1
23.6,d_20021001,0,0,0,0,0,0,76.3,65.2,53.5,43.6,27.5
34.3,d_20021101,3.4,0.1,0,0,0,0,62.2,54.3,39.2,25.4,4.9
37.6,d_20021201,6.7,0.5,0,0,0,0,55.8,45.2,24.9,9.9,1
41.6,d_20030101,21.4,12.3,0.1,0,0,0,36.9,25.6,6.4,2.2,0.2
37.3,d_20030201,23.7,14.5,0.7,0.1,0,0,39.2,28.2,11.7,5.3,1.1
